Numéro_Commande,ID_Client,Date_Commande,Statut_Commande,Prix_Produit,Frais_Livraison,Nom_Produit,Catégorie_Produit,Pays
CMD100000,CLT8270,2022-01-01 00:00:00,expédiée,215.76,25.76,Webcam HD,Audio/vidéo,France
CMD100001,CLT1860,2022-01-01 01:00:00,livrée,119.43,1.49,Smartphone 5G,Téléphonie,France
CMD100002,CLT6390,2022-01-01 02:00:00,livrée,92.96,11.96,Souris Gaming,Informatique,France
CMD100003,CLT6191,2022-01-01 03:00:00,livrée,497.61,0.8,Smartphone 5G,Informatique,Belgique
CMD100004,CLT6734,2022-01-01 04:00:00,expédiée,377.73,25.18,Clavier Mécanique,Informatique,France
CMD100005,CLT7265,2022-01-01 05:00:00,expédiée,207.29,5.31,Souris Gaming,Audio/vidéo,France
CMD100006,CLT1466,2022-01-01 06:00:00,livrée,414.05,20.22,Clavier Mécanique,Audio/vidéo,Belgique
CMD100007,CLT5426,2022-01-01 07:00:00,livrée,275.67,10.72,Smartphone 5G,Accessoires,France
CMD100008,CLT6578,2022-01-01 08:00:00,livrée,162.11,24.48,PC Portable,Accessoires,France
CMD100009,CLT9322,2022-01-01 09:00:00,livrée,372.98,15.29,PC Portable,Téléphonie,France
CMD100010,CLT2685,2022-01-01 10:00:00,livrée,374.22,9.73,Casque Bluetooth,Informatique,France
CMD100011,CLT1769,2022-01-01 11:00:00,livrée,252.58,9.72,PC Portable,Accessoires,France
CMD100012,CLT7949,2022-01-01 12:00:00,livrée,27.35,9.81,Casque Bluetooth,Audio/vidéo,France
CMD100013,CLT3433,2022-01-01 13:00:00,livrée,43.13,23.66,Smartphone 5G,Informatique,France
CMD100014,CLT6311,2022-01-01 14:00:00,livrée,395.43,21.33,Casque Bluetooth,Téléphonie,France
CMD100015,CLT6051,2022-01-01 15:00:00,livrée,412.62,9.58,Casque Bluetooth,Informatique,France
CMD100016,CLT7420,2022-01-01 16:00:00,expédiée,340.75,14.71,Casque Bluetooth,Accessoires,France
